	RC	RC_subj	RC_subj_pos	relativizer_word	relativizer_func	RC_modifier_head	RC_modifier_NP	RC_location	RC_context	sentence
64147	that litter the woodland floor	that	DET	that	nsubj	leaves	the ancient leaves	(14, 18)	('bark', '.')	He trips on a stone and sprawls into the ancient leaves and castoff bark that litter the woodland floor .
64148	on whom he throws a token clod	he	PRON	whom	pobj	bow	a bow	(31, 37)	('on', 'No')	Nob is already striding out of the cornfield , his long legs stepping high and storklike , pausing only for a bow of respect toward the Chosen Man , on whom he throws a token clod .
64149	that threatens to pull their moccasins from their feet	that	DET	that	nsubj	mud	a thick , syrupy mud	(14, 22)	('mud', '.')	""" The rain has turned die dirt track to a thick , syrupy mud that threatens to pull their moccasins from their feet ."
64150	that crowds the wide pathway while Nob struggles to keep up	Nob	PROPN	that	nsubj	underbrush	the underbrush	(6, 16)	('underbrush', '.')	""" Jace scampers through the underbrush that crowds the wide pathway while Nob struggles to keep up ."
64151	that still dangle from it	that	DET	that	nsubj	cables	the cables	(33, 37)	('cables', '.')	Passing the Great Pylon , he pauses long enough to rap it for luck , listens to the hollow echo , then swings across a fallen pole on one of the cables that still dangle from it .
64152	that grow over in Brown 's Valley	that	DET	that	nsubj	grapes	the grapes	(7, 13)	('grapes', '.')	1 figure grapefruits was like the grapes that grow over in Brown 's Valley .
64153	that drop down to the Eastbound River	that	DET	that	nsubj	cliffs	the cliffs	(19, 25)	('cliffs', '.')	In the middle distance stands a great stone building , and beyond it , the edge of the cliffs that drop down to the Eastbound River .
64154	that think ?	that	DET	that	nsubj	Boxes	Boxes	(1, 3)	('Boxes', 'An')	Boxes that think ?
64155	who gives him a grin of shared secrets	who	PRON	who	nsubj	boy	the boy	(6, 13)	(',', ',')	He glances at the boy , who gives him a grin of shared secrets , but shows no interest in the ruins on the valley floor below them .
64156	who knows of heresy but speaks not up	who	PRON	who	nsubj	He	He	(2, 9)	('He', 'is')	""" He who knows of heresy but speaks not up is as guilty as the heretic . '"
64157	that Nob uses to bring water from the creek	Nob	PROPN	that	dobj	bucket	a wooden bucket	(6, 14)	('bucket', ',')	There is a wooden bucket that Nob uses to bring water from the creek , and Ma Teffny upends it and sits herself upon it .
64158	that carries the old highway over the river	that	DET	that	nsubj	What	What	(5, 12)	"(""O'erpass"", '?')"	What of the towering O'erpass that carries the old highway over the river ?
64159	that had appeared in my room	that	DET	that	nsubj	image	the grainy 3-D image	(30, 35)	('image', '.')	"##4076138 Half "" the crystals of my projector needed replacing and my eyes were gummed with sleep , but I managed to recognize the grainy 3-D image that had appeared in my room ."
64160	who 'd died in 2015	who	PRON	who	nsubj	aunt	a great - aunt	(14, 18)	('aunt', '.')	I remembered getting a birthday greeting every year from a great-aunt who 'd died in 2015 .
64161	which was normal since they always suppressed bad news	they	PRON	which	nsubj	deaths	the deaths	(11, 19)	(',', '.')	We knew Yoobie was suppressing the news about the deaths , which was normal since they always suppressed bad news .
64162	that may or may not be his	that	DET	that	nsubj	AI	An AI	(11, 17)	('AI', ',')	"If his AI thinks something was up- "" "" An AI that may or may not be his , "" I corrected ."
64163	who visited me	who	PRON	who	nsubj	one	the one	(10, 12)	('one', '.')	And check to make sure his AI matches the one who visited me .
64164	which was underneath a guide rail	which	DET	which	nsubj	door	the door	(10, 15)	(',', '.')	A line snaked all the way to the door , which was underneath a guide rail .
64165	who specialize in biology	who	PRON	who	nsubj	those	those	(13, 16)	('us', 'tend')	Most detectives have a lengthy list of enemies , and those of us who specialize in biology tend to get involved in the messiest cases- family disputes , violent crime , and affairs of the heart and other organs .
64166	who 'd consider me good potting material	me	PRON	who	nsubj	people	dozen people	(19, 25)	('people', '.')	You could probably stand anywhere in the city and spit on the shoes of half a dozen people who 'd consider me good potting material .
64167	I was already that in debt up to my chin	I	PRON	that	pobj	enemies	much escaping enemies	(9, 18)	('enemies', '.')	I 'd spent so much money escaping enemies that I was already in debt up to my chin .
64168	who caUed me	who	PRON	who	nsubj	signature	the digital signature	(17, 19)	('AI', '?')	""" Something began clicking in my mind . "" How about the digital signature of the AI who caUed me ?"
64169	that bit you	that	DET	that	nsubj	Hair	Hair	(4, 6)	('dog', '?')	"Hair of the dog that bit you ? """
64170	which hinted at a tropical ancestry	which	DET	which	nsubj	face	Her face	(3, 8)	(',', ',')	Her face , which hinted at a tropical ancestry , had paled today , looking unusuaUy bright in the sunshine .
64171	of which I had Uttle knowledge	I	PRON	which	pobj	awards	some awards	(16, 21)	('of', 'She')	Her terra-cotta sculptures had won some awards in the art world , of which I had Uttle knowledge .
64172	who looked a lot like Nadia , except her eyes	who	PRON	who	nsubj	teenager	a teenager	(10, 19)	('teenager', 'were')	It showed a series of three pictures of a teenager who looked a lot like Nadia , except her eyes were lighter and her cheekbones were more prominent .
64173	who is she	who	PRON	who	nsubj	reaUy	reaUy	(5, 7)	(',', ',')	"I mean , reaUy , who is she , deep down inside ? """
64174	who would love me back	who	PRON	who	nsubj	someone	someone	(10, 14)	('someone', '.')	I guess I wanted someone to love and someone who would love me back .
64175	that adults have for each other	adults	NOUN	that	dobj	kind	not the kind	(9, 14)	('love', '.')	Real love , not the kind of love that adults have for each other .
64176	that bonds parent and child	that	DET	that	nsubj	kind	the unconditional kind	(10, 14)	('love', '.')	Not conditional love , but the unconditional kind of love that bonds parent and child .
64177	which was n't too difficult	which	DET	which	nsubj	child	the child	(8, 12)	(',', 'because')	1 also had to hide the child , which was n't too difficult
64178	that could answer almost	that	DET	that	nsubj	system	the system	(25, 28)	('system', 'aU')	But you got hold of the old number of Nadia 's daughter , along with enough data to construct a file in the system that could answer almost
64179	which seemed to allay their suspicion	which	DET	which	nsubj	download	""" visitor download"	(17, 22)	"('""', '.')"	"But the screen in the center of the room displayed "" authorized visitor 's download , "" which seemed to allay their suspicion ."
64180	who had been at my residence the other day	who	PRON	who	nsubj	agent	the Yoobie agent	(9, 17)	('agent', '.')	Ten minutes later I saw the Yoobie agent who had been at my residence the other day .
64181	that I placed in it thirty seconds ago	I	PRON	that	dobj	mixture	an explosive chemical mixture	(35, 42)	('mixture', '.')	"All they 'll find is a bunch of broken , melted composite materials from the car of a professor I do n't particularly care for , and the residue of an explosive chemical mixture that I placed in it thirty seconds ago . """
64182	I assumed which emitted a code of pulsed electromagnetic radiation or exerted some specific sequence of electric or magnetic forces	which	DET	which	nsubj	wand	the black wand	(24, 43)	(',', '.')	After a couple of turns to the left , Barbara opened a similar door in another wall by using the black wand , which I assumed emitted a code of pulsed electromagnetic radiation or exerted some specific sequence of electric or magnetic forces .
64183	that ran the length of the eighty - foot room	that	DET	that	nsubj	bench	a long lab bench	(17, 26)	('bench', '.')	"Time for me to change solutions , "" said Barbara , stepping to a long lab bench that ran the length of the eighty-foot room ."
64184	who made the discovery	who	PRON	who	nsubj	one	the one	(4, 7)	('one', ',')	"You 're the one who made the discovery , "" I said ."
64185	which they obtain by taxing everyone to death	they	PRON	which	dobj	lot	a lot	(8, 15)	(',', '.')	Yoobie has a lot of resources , which they obtain by taxing everyone to death .
64186	who made the discovery	who	PRON	who	nsubj	one	the one	(7, 10)	('one', '.')	"They still think Arden was the one who made the discovery . """
64187	who 's perceptive	who	PRON	who	nsubj	someone	someone	(19, 21)	('someone', '.')	Amazing what hearing a fresh perspective will do for your outlook , especially when the perspective comes from someone who 's perceptive .
64188	that essentially consisted of a bunch of adults playing children 's games	that	DET	that	nsubj	organization	an organization	(6, 17)	('organization', '.')	I belonged to an organization that essentially consisted of a bunch of adults playing children 's games .
64189	who were talented and serious	who	PRON	who	nsubj	rebels	rebels	(12, 16)	('rebels', '?')	If so , then should n't I pitch my tent with rebels who were talented and serious ?
64190	that make them truly intelligent	them	PRON	that	nsubj	processes	the genetic processes	(14, 18)	('processes', '.')	All I have to do is add some code to simulate the genetic processes that make them truly intelligent .
64191	who understands and can manipulate Yoobie 's networks	who	PRON	who	nsubj	someone	someone	(12, 19)	('someone', ',')	I can handle the AIs , but what I need is someone who understands and can manipulate Yoobie 's networks , otherwise we ca n't install them where we want without Yoobie getting wise .
64192	who want to be your friend	who	PRON	who	nsubj	people	two people	(4, 9)	('people', 'if')	I know two people who want to be your friend if you 'll let them .
64193	who took Barbara and me into custody	who	PRON	who	nsubj	agents	The Yoobie agents	(3, 9)	('agents', 'spared')	The Yoobie agents who took Barbara and me into custody spared little feeling in their disdain .
64194	that Yoobie tried desperately to hide	Yoobie	PROPN	that	mark	cases	cases	(7, 12)	('cases', '.')	Ops were especially attuned to cases that Yoobie tried desperately to hide .
64195	who designed the con	who	PRON	who	nsubj	owner	the owner	(19, 22)	(',', '.')	##4076139 In an argot obsolete long before their time , NESSET would have been the owner , who designed the con .
64196	who brought the mark in	who	PRON	who	nsubj	roper	the roper	(5, 9)	(',', '.')	Opel was the roper , who brought the mark in .
64197	who stuck around after the blow - off to keep the mark from tipping off the authorities	who	PRON	who	nsubj	cooler	the cooler	(5, 21)	(',', '.')	Threely was the cooler , who stuck around after the blow-off to keep the mark from tipping off the authorities .
64198	that made his eyes cross	eyes	NOUN	that	nsubj	scripts	her scripts	(24, 28)	('hackery', '.')	She 'd showed him her scripts , full of ( x , y , z ) = self.getposO and general command-console hackery that made his eyes cross .
64199	that divided Daelemil 's largest sea	that	DET	that	nsubj	trench	the trench	(23, 28)	('trench', '.')	""" Opel 's underwater stronghold , 4x4 squares on the Big Grid and screened with diala spells , nestled deep in the trench that divided Daelemil 's largest sea ."
64200	that waved in the current	that	DET	that	nsubj	blooms	the bore luminescent green blooms	(13, 17)	('blooms', '.')	The sea-rose vines on the stony floor bore luminescent green blooms that waved in the current .
64201	which turnstiles were online	turnstiles	NOUN	which	det	conditions	weather conditions	(17, 20)	(',', '.')	speed and passenger load data for Washington Metropolitan Area Transit Authority trains , weather conditions , which turnstiles were online .
64202	that sent NESSET data	that	DET	that	nsubj	nodes	Other nodes	(2, 5)	('nodes', 'could')	Other nodes that sent NESSET data could also receive it .
64203	that could make outbound calls but redirected inbound calls to the switchboard	that	DET	that	nsubj	modem	a modem	(9, 20)	('modem', ',')	Memory and disk partitions , and a modem that could make outbound calls but redirected inbound calls to the switchboard , were the only computer hardware it could access directly .
64204	that specialized in virtual property from online games	that	DET	that	nsubj	house	an auction house	(14, 21)	('house', '.')	All the transaction descriptions linked to The Least Dangerous Game , an auction house that specialized in virtual property from online games .
64205	that went far beyond keyword recognition and could n't be fooled for long by simple neologisms and circumlocution	that	DET	that	nsubj	way	a way	(10, 27)	('way', '.')	It monitored player chat for inappropriate discussions in a way that went far beyond keyword recognition and could n't be fooled for long by simple neologisms and circumlocution .
64206	which made him feel stupid	him	PRON	which	nsubj	Bill	Bill	(8, 12)	(',', '.')	"Uh , wow , "" said Bill , which made him feel stupid ."
64207	that show her character moving	character	NOUN	that	nsubj	files	her video files	(3, 7)	('files', '...')	"her video files that show her character moving ... "" "" Her flyovers . """
64208	who wants to remain anonymous	who	PRON	who	nsubj	someone	someone	(5, 9)	('someone', ',')	Someone at the company someone who wants to remain anonymous , put them on a datacube for us .
64209	that 's forever	that	DET	that	nsubj	one	one	(12, 14)	('one', '.')	Opel knew the difference between a death you respawn from and one that 's forever .
64210	that stayed connected for too long or transferred unusual amounts of data	that	DET	that	nsubj	accounts	investigated accounts	(4, 15)	('accounts', '.')	Server admins investigated accounts that stayed connected for too long or transferred unusual amounts of data .
64211	NESSET ran that on	NESSET	PROPN	that	pobj	processors	the processors	(25, 28)	('memory', '.')	Never suspecting anything stranger than lazy patch programmers , she responded in the time-honored sysadmin tradition and upgraded the processors and memory that NESSET ran on .
64212	that could drop the sword	that	DET	that	nsubj	Chimera	the rare Lava Chimera	(36, 40)	('Chimera', '.')	Opel - the server , not the half-elf mage character it would use to cultivate Bill 's acquaintance - t-ported him far from the campers and spawned the rare Lava Chimera that could drop the sword .
64213	that came from the handset	that	DET	that	nsubj	voice	The voice	(2, 6)	('voice', 'was')	The voice that came from the handset was Bill 's own .
64214	which used a key from the cube	which	DET	which	nsubj	instance	the remote instance	(11, 17)	(',', '-')	""" It exchanged an encrypted handshake with the remote instance , which used a key from the cube - "" "" Wait , wait ."
64215	that makes Als legal persons	that	DET	that	nsubj	law	A Finnish law	(8, 12)	('effect', '.')	""" A Finnish law just went into effect that makes Als legal persons . """
64216	which allow corporations to be considered people for many legal purposes	which	DET	which	nsubj	charters	corporate charters	(5, 15)	(',', '.')	analogous to corporate charters , which allow corporations to be considered people for many legal purposes .
64217	who did n't	who	PRON	who	nsubj	ones	the ones	(3, 5)	('ones', ',')	Of the ones who did n't , some never developed friendships , and some dropped the friendship or the game .
64218	that simulates the Turing hardware	that	DET	that	nsubj	machine	a virtual machine	(16, 20)	('machine', '.')	Another instance of me is running on a Finnish server now , in a virtual machine that simulates the Turing hardware .
64219	that usually means NO	that	DET	that	nsubj	circle	the barred circle	(18, 21)	(',', '.')	but I 'd never heard of one creating on itself the diagonally barred circle , 0 , that usually means NO .
64220	that echoed off the glass wall beside them	that	DET	that	nsubj	whisper	a whisper	(14, 21)	('whisper', '.')	""" It 's bigger than we thought , "" he said in a whisper that echoed off the glass wall beside them ."
64221	, that is .	that	ADV	that	nsubj	astronomers	The legitimate astronomers	(4, 7)	(',', 'all')	The legitimate astronomers , that is .
64222	that bothers me about all this	that	DET	that	nsubj	thing	one thing	(6, 11)	('thing', ',')	""" There 's just one thing that bothers me about all this , "" Leo said , not even bothering to lower his voice ."
64223	that screwed up Watergate and could n't keep Clinton 's sex life or the Bin Laden connection under wraps	that	DET	that	nsubj	people	the same people	(11, 29)	('people', '.')	"Come on now , you 're talking about the same people that screwed up Watergate and could n't keep Clinton 's sex life or the Bin Laden connection under wraps . """
64224	that fell in bangs just short of aquamarine eyes	that	DET	that	nsubj	hair	dark blond hair	(11, 19)	('hair', '.')	She was tall , rail thin , with dark blond hair that fell in bangs just short of aquamarine eyes .
64225	who had killed him	who	PRON	who	nsubj	woman	the woman	(23, 26)	('woman', '.')	There was no way he could save Leo , but if he acted fast he could at least track down the woman who had killed him .
64226	who just happens to work dispatch at the Puyallup field office	who	PRON	who	nsubj	guy	a nice guy	(6, 16)	('guy', ',')	Marty 's a nice guy who just happens to work dispatch at the Puyallup field office , but if I call him up and say ' UFO , ' he ca n't do a thing to help me .
64227	that seemed like a dim flashlight after the UFO 's bright beam	that	DET	that	nsubj	spotlight	a spotlight	(15, 26)	('spotlight', '.')	The helicopter showed up not long afterward and began sweeping the roadside with a spotlight that seemed like a dim flashlight after the UFO 's bright beam .
64228	whose driver honked the horn and cursed at him as he drove to the next light	he	PRON	whose	poss	taxi	a taxi	(40, 55)	('taxi', 'and')	As nonchalantly as he could , he walked with the crowd for the block and a half to his car , then he ducked inside and started it up and pulled out into traffic , cutting off a taxi whose driver honked the horn and cursed at him as he drove to the next light and turned right .
64229	who 'd come with Leo	who	PRON	who	nsubj	woman	the woman	(7, 11)	('woman', ',')	Delmer looked over to the woman who 'd come with Leo , but she was no longer standing where she 'd been .
64230	that ' re bigger than they are	they	PRON	that	nsubj	things	things	(10, 16)	('things', '.')	They learn real quick not to mess with things that ' re bigger than they are .
64231	which he did n't as soon as we found his camera	we	PRON	which	dobj	leverage	enough leverage	(14, 24)	(',', '.')	"Not unless they 've got enough leverage to deal with it , which he did n't as soon as we found his camera . """
64232	that allowed spaceships to come and go without hindrance	spaceships	NOUN	that	nsubj	kind	some kind	(21, 29)	('field', '.')	They used nothing so crude as an actual wall to hold in the atmosphere ; rather some kind of force field that allowed spaceships to come and go without hindrance .
64233	which was a crystal palace the size of the Taj Mahal	which	DET	which	nsubj	house	Leo house	(8, 18)	(',', '.')	They flew straight to Leo 's house , which was a crystal palace the size of the Taj Mahal .
64234	no two of which were alike	two	NUM	which	pobj	UFOs	dozen other UFOs	(23, 28)	('of', 'them')	They landed on a plush lawn beside one of the towers , next to half a dozen other UFOs , no two of which were alike .
64235	that had come from farther away	that	DET	that	nsubj	few	a few	(27, 32)	('few', '.')	Leo took him on a tour of the grounds as well , pointing out all the exotic plants he 'd brought from Earth and a few that had come from farther away .
64236	that were hills and crater rims catching the last rays of the sun	hills	NOUN	that	nsubj	points	points	(22, 34)	('light', '.')	They were still in full sunlight , but the ground below them was already a dark plain glittering with points of light that were hills and crater rims catching the last rays of the sun .
64237	who were a big enough threat to warrant his attention	who	PRON	who	nsubj	people	people	(6, 15)	('people', '.')	He only did it for people who were a big enough threat to warrant his attention .
64238	that slid out when he approached	he	PRON	that	nsubj	ramp	the ramp	(23, 28)	('ramp', ',')	Acting nonchalant , as if he were just a parking valet , Delmer walked straight up to the saucer , climbed the ramp that slid out when he approached , and sat in the single pilot 's chair .
64239	that looked like the lift button	that	DET	that	nsubj	one	the one	(4, 9)	('one', ',')	Delmer found the one that looked like the lift button , but nothing happened when he pressed it .
64240	that might be an ignition switch	that	DET	that	nsubj	something	something	(5, 10)	('something', ',')	He looked for something that might be an ignition switch , but there was n't anything obvious .
64241	who sat patiently listening to them from the head of the table	who	PRON	who	nsubj	man	jowled man	(15, 26)	('man', '.')	"Advocate Lassiter , "" she said , turning to the balding , heavily jowled man who sat patiently listening to them from the head of the table ."
64242	which I doubt	I	PRON	which	dobj	land	land	(8, 10)	('-', ',')	"Even if the Anunnaki did land - which I doubt , by the way ... "" He rolled his eyes knowingly at the advocate . "" . . ."
64243	who 'd visited Earth and set humankind on the road to civilization	who	PRON	who	nsubj	astronauts	the ancient astronauts	(27, 38)	('astronauts', '.')	The Anunnaki , after all , were the whole reason they had launched the Fleet in the first place- to reunite themselves with the ancient astronauts who 'd visited Earth and set humankind on the road to civilization .
64244	that had lifted humankind to consciousness	that	DET	that	nsubj	race	the race	(30, 35)	('race', ';')	"His job , she suddenly realized , was n't to seek out new knowledge about the Anunnaki , was n't to help them reestablish their relationship with the race that had lifted humankind to consciousness ; it was to keep a leash on her , to make sure she did n't stir up too much trouble , did n't get too much in the way of the Consortium 's "" mining operation . """
64245	that had spawned human civilization	that	DET	that	nsubj	race	the race	(15, 19)	('race', '-')	All their talk about finding the Anunnaki , about reuniting themselves with the race that had spawned human civilization
64246	that caught the light from the magma and surrounded them in a glowing orange mist	that	DET	that	nsubj	curtains	long winding curtains	(9, 23)	('curtains', '.')	Steam rose from the fissures in long winding curtains that caught the light from the magma and surrounded them in a glowing orange mist .
64247	that bounced erratically before the whistling wind carried them away	wind	NOUN	that	nsubj	droplets	tiny droplets	(14, 23)	('droplets', '.')	As they descended , the mist beaded on the windscreen , forming tiny droplets that bounced erratically before the whistling wind carried them away .
64248	that had thrust its dark cone up through the ice	that	DET	that	nsubj	volcanoes	the volcanoes	(23, 32)	('volcanoes', '.')	She gripped the arms of her chair as the autopilot banked around the plume of ash rising from one of the volcanoes that had thrust its dark cone up through the ice .
64249	that might improve our own capabilities	that	DET	that	nsubj	anything	anything	(15, 20)	('anything', '.')	Their FTL drive , their communications , their long-rang sensors - anything that might improve our own capabilities .
64250	who 'd tried to discredit their findings and block the formation of the Fleet in the first place	who	PRON	who	nsubj	governments	the governments	(20, 37)	('scientists', '.')	This , in spite of the ridicule they 'd received at the hands of the governments and secular scientists who 'd tried to discredit their findings and block the formation of the Fleet in the first place .
64251	that rushed down from the ice sheet behind them	that	DET	that	nsubj	gust	a sudden gust	(21, 29)	('wind', '.')	"Even with their helmet mikes , she had to raise her voice to be heard over a sudden gust of wind that rushed down from the ice sheet behind them . """
64252	that had ferried them out from the Fleet	that	DET	that	nsubj	ship	the Consortium survey ship	(11, 18)	('ship', '.')	The Arrow was EnIiTs Arrow , the Consortium survey ship that had ferried them out from the Fleet .
64253	that surrounded them	that	DET	that	nsubj	rock	the covered rock	(12, 14)	('rock', '.')	""" he asked , looking out at the algae-covered rock that surrounded them ."
64254	that could blow us halfway back to the Arrow	that	DET	that	nsubj	wind	a wind	(17, 25)	('wind', '.')	""" No sunlight , enough hydrogen sulfide to kill us in seconds , and a wind that could blow us halfway back to the Arrow ."
64255	that could disrupt contact with the ship for hours at a time	that	DET	that	nsubj	atmosphere	the upper atmosphere	(36, 47)	('atmosphere', '.')	While Slag 's parent had almost no magnetic field , the field generated by Slag 's molten iron core captured jecta from the numerous volcanoes , creating storms of ionized particles in the upper atmosphere that could disrupt contact with the ship for hours at a time .
64256	that spread along the shelf before the water washed over the edge and dropped into the depths more than half a mile below	water	NOUN	that	nsubj	pools	forming pools	(11, 33)	('pools', '.')	Water cascaded down over the lip above her , forming pools that spread along the shelf before the water washed over the edge and dropped into the depths more than half a mile below .
64257	that allowed it to glide almost effortlessly through the water	it	PRON	that	nsubj	wings	delicate wings	(9, 18)	('wings', '.')	its body - like a pair of delicate wings that allowed it to glide almost effortlessly through the water .
64258	that pulsed with the same light as the worm she held with her forceps	she	PRON	that	nsubj	bundle	a loose bundle	(17, 30)	('bundle', '.')	The worms directly in front of her had come together , weaving themselves into a loose bundle that pulsed with the same light as the worm she held with her forceps .
64259	that appeared to maintain itself even as the worms themselves slid over and under each other	worms	NOUN	that	nsubj	pattern	an unbroken pattern	(24, 39)	('pattern', '.')	The waves of light moved over the surface of the bundle , gliding smoothly from one worm to the next in an unbroken pattern that appeared to maintain itself even as the worms themselves slid over and under each other .
64260	who had created them	who	PRON	who	nsubj	beings	the beings	(11, 14)	('beings', '.')	@ time , back through the worms to the beings who had created them .
64261	some of which had been part of the larger bundles before others took their places	others	NOUN	which	pobj	worms	dozen free worms	(38, 52)	('of', 'gathering')	She was n't able to retrieve any of the bundles - they kept their distance , moving back when she reached for them with her forceps - but she gathered several dozen free worms , some of which had been part of the larger bundles before others took their places .
64262	who was sliding samples of worm DNA into his portable gene analyzer	who	PRON	who	nsubj	Tobias	Tobias	(12, 23)	(',', ',')	""" I think we have a problem . "" Tobias , who was sliding samples of worm DNA into his portable gene analyzer , looked up . "" A problem ? """
64263	that metabolized hydrogen sulfide	that	DET	that	nsubj	organism	the organism	(9, 12)	('organism', ',')	"The genes for the old species , the organism that metabolized hydrogen sulfide , are still there , but its genes have been turned off . """
64264	that metabolize oxygen	that	DET	that	nsubj	organisms	organisms	(5, 7)	('organisms', 'produce')	Like I said , organisms that metabolize oxygen produce more energy than chemotrophs , but why the Anunnaki would care is beyond me .
64265	that repeat themselves from one generation to the next in response to the laws of chemistry	that	DET	that	nsubj	sequences	meaningless nucleotide sequences	(7, 22)	('sequences', '.')	It 's nothing but meaningless nucleotide sequences that repeat themselves from one generation to the next in response to the laws of chemistry .
64266	that flowed out from under the ice sheet before they found an ice cave large enough to crawl into	they	PRON	that	nsubj	streams	the small streams	(11, 29)	('streams', '.')	Liz and Tobias spent nearly an hour exploring the small streams that flowed out from under the ice sheet before they found an ice cave large enough to crawl into .
64267	that sounds human	that	DET	that	nsubj	voice	a voice	(8, 10)	('voice', '.')	They can even do it with a voice that sounds human .
64268	that are intelligent	that	DET	that	nsubj	worms	the worms	(8, 10)	('themselves', ',')	""" Maybe it is n't the worms themselves that are intelligent , "" she said ."
64269	that supports it	that	DET	that	nsubj	entity	the physical entity	(9, 11)	('entity', '.')	It should n't exist independently of the physical entity that supports it .
64270	who was kneeling beside the pool	who	PRON	who	nsubj	Liz	Liz	(8, 13)	(',', '.')	He paused , looking at Liz , who was kneeling beside the pool .
